ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;HiddenLayerSizes;LearningRate;DropoutRate;ActivationFunction;Regularization;OptimizationAlgorithm
53;2020-09-07 20:17:56;26;0.6868749856948853;29830;(20,); 0.0005; 0.05; relu; l2; adam
54;2020-09-07 20:20:11;26;0.6853125095367432;29830;(20,); 0.0005; 0.1; relu; l2; adam
55;2020-09-07 20:23:54;43;0.6838750243186951;29830;(20,); 0.0005; 0.2; relu; l2; adam
56;2020-09-07 20:25:58;24;0.6446250081062317;29830;(20,); 0.0005; 0.5; relu; l2; adam
57;2020-09-07 20:28:09;25;0.6638749837875366;29830;(20,); 0.0001; 0.05; relu; l2; adam
58;2020-09-07 20:30:18;25;0.6604999899864197;29830;(20,); 0.0001; 0.1; relu; l2; adam
59;2020-09-07 20:34:32;46;0.6676874756813049;29830;(20,); 0.0001; 0.2; relu; l2; adam
60;2020-09-07 20:36:30;23;0.6313124895095825;29830;(20,); 0.0001; 0.5; relu; l2; adam
61;2020-09-07 20:37:22;10;0.6324999928474426;120781;(81,); 0.01; 0.05; relu; l2; adam
62;2020-09-07 20:38:23;12;0.6374375224113464;120781;(81,); 0.01; 0.1; relu; l2; adam
63;2020-09-07 20:39:17;11;0.6292499899864197;120781;(81,); 0.01; 0.2; relu; l2; adam
64;2020-09-07 20:40:51;19;0.4936875104904175;120781;(81,); 0.01; 0.5; relu; l2; adam
65;2020-09-07 20:42:14;17;0.6899999976158142;120781;(81,); 0.005; 0.05; relu; l2; adam
66;2020-09-07 20:43:40;17;0.6825000047683716;120781;(81,); 0.005; 0.1; relu; l2; adam
67;2020-09-07 20:45:07;17;0.6796249747276306;120781;(81,); 0.005; 0.2; relu; l2; adam
68;2020-09-07 20:46:24;15;0.6353750228881836;120781;(81,); 0.005; 0.5; relu; l2; adam
69;2020-09-07 20:47:20;11;0.6995000243186951;120781;(81,); 0.001; 0.05; relu; l2; adam
70;2020-09-07 20:48:39;15;0.7019374966621399;120781;(81,); 0.001; 0.1; relu; l2; adam
71;2020-09-07 20:50:08;17;0.7001875042915344;120781;(81,); 0.001; 0.2; relu; l2; adam
72;2020-09-07 20:53:58;44;0.6976875066757202;120781;(81,); 0.001; 0.5; relu; l2; adam
73;2020-09-07 20:57:01;35;0.7065625190734863;120781;(81,); 0.0005; 0.05; relu; l2; adam
74;2020-09-07 20:59:19;26;0.7088750004768372;120781;(81,); 0.0005; 0.1; relu; l2; adam
75;2020-09-07 21:01:37;26;0.710562527179718;120781;(81,); 0.0005; 0.2; relu; l2; adam
76;2020-09-07 21:04:21;31;0.6957499980926514;120781;(81,); 0.0005; 0.5; relu; l2; adam
77;2020-09-07 21:06:32;25;0.6888750195503235;120781;(81,); 0.0001; 0.05; relu; l2; adam
78;2020-09-07 21:08:44;25;0.6878125071525574;120781;(81,); 0.0001; 0.1; relu; l2; adam
79;2020-09-07 21:11:14;28;0.6861249804496765;120781;(81,); 0.0001; 0.2; relu; l2; adam
80;2020-09-07 21:13:26;25;0.6775624752044678;120781;(81,); 0.0001; 0.5; relu; l2; adam
81;2020-09-07 21:15:09;19;0.6701874732971191;480112;(322,); 0.01; 0.05; relu; l2; adam
82;2020-09-07 21:16:14;12;0.6459375023841858;480112;(322,); 0.01; 0.1; relu; l2; adam
83;2020-09-07 21:17:30;14;0.6288124918937683;480112;(322,); 0.01; 0.2; relu; l2; adam
84;2020-09-07 21:18:35;12;0.4794999957084656;480112;(322,); 0.01; 0.5; relu; l2; adam
85;2020-09-07 21:20:08;17;0.6971250176429749;480112;(322,); 0.005; 0.05; relu; l2; adam
86;2020-09-07 21:21:38;17;0.6876875162124634;480112;(322,); 0.005; 0.1; relu; l2; adam
87;2020-09-07 21:23:36;22;0.6862499713897705;480112;(322,); 0.005; 0.2; relu; l2; adam
88;2020-09-07 21:25:49;25;0.6507499814033508;480112;(322,); 0.005; 0.5; relu; l2; adam
89;2020-09-07 21:27:52;23;0.711312472820282;480112;(322,); 0.001; 0.05; relu; l2; adam
90;2020-09-07 21:29:12;15;0.7124999761581421;480112;(322,); 0.001; 0.1; relu; l2; adam
91;2020-09-07 21:31:00;20;0.7096874713897705;480112;(322,); 0.001; 0.2; relu; l2; adam
92;2020-09-07 21:33:37;29;0.7116875052452087;480112;(322,); 0.001; 0.5; relu; l2; adam
93;2020-09-07 21:34:37;11;0.7002500295639038;480112;(322,); 0.0005; 0.05; relu; l2; adam
94;2020-09-07 21:35:37;11;0.6993125081062317;480112;(322,); 0.0005; 0.1; relu; l2; adam
95;2020-09-07 21:37:42;23;0.7099375128746033;480112;(322,); 0.0005; 0.2; relu; l2; adam
96;2020-09-07 21:40:04;26;0.7072499990463257;480112;(322,); 0.0005; 0.5; relu; l2; adam
97;2020-09-07 21:42:25;26;0.6923750042915344;480112;(322,); 0.0001; 0.05; relu; l2; adam
98;2020-09-07 21:44:40;25;0.6918125152587891;480112;(322,); 0.0001; 0.1; relu; l2; adam
99;2020-09-07 21:47:00;26;0.6928125023841858;480112;(322,); 0.0001; 0.2; relu; l2; adam
100;2020-09-07 21:50:25;38;0.6960625052452087;480112;(322,); 0.0001; 0.5; relu; l2; adam
