ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumBytes;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
182;2020-09-14 07:24:58;28;0.7311875224113464;54026;400; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
183;2020-09-14 07:27:50;25;0.7262499928474426;54026;400; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
184;2020-09-14 07:29:02;10;0.5995625257492065;54026;400; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
185;2020-09-14 07:31:48;24;0.7861875295639038;54026;400; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
186;2020-09-14 07:34:38;24;0.8071874976158142;54026;400; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
187;2020-09-14 07:37:33;25;0.7994999885559082;54026;400; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
188;2020-09-14 07:42:46;45;0.7382500171661377;54026;400; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
189;2020-09-14 07:45:40;25;0.8081250190734863;54026;400; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
190;2020-09-14 07:48:07;21;0.7966874837875366;54026;400; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
191;2020-09-14 07:52:44;40;0.8123124837875366;54026;400; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
192;2020-09-14 07:57:10;38;0.804437518119812;54026;400; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
193;2020-09-14 08:00:05;25;0.7928125262260437;54026;400; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
194;2020-09-14 08:04:51;41;0.7950000166893005;54026;400; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
195;2020-09-14 08:10:42;50;0.7974374890327454;54026;400; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
196;2020-09-14 08:15:27;41;0.792062520980835;54026;400; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
197;2020-09-14 08:21:15;50;0.7547500133514404;54026;400; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
198;2020-09-14 08:27:04;50;0.7519375085830688;54026;400; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
199;2020-09-14 08:32:49;50;0.7278749942779541;54026;400; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
200;2020-09-14 08:38:37;50;0.6659374833106995;54026;400; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
